代號,名稱,成交,財報季度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),累季ROE(%),累季ROE增減,年估ROE(%),累季ROA(%),累季ROA增減,年估ROA(%),財報評分,stock_id,filter_reason
"=""7769""",鴻勁,4105.0,25Q4,303.0,116.0,171.0,122.0,124.0,134.0,56.5,1.51,40.8,3.06,75.71,42.76,34.5,-6.14,34.5,26.0,-1.3,26.0,91,7769,技術面未達標
"=""7770""",君曜,49.2,25Q4,5.13,12.8,1.8,-12.3,0.82,-41.8,35.1,-10.1,16.0,-15.0,3.0,-2.27,15.0,-18.0,15.0,11.1,-8.85,11.1,68,7770,成交值僅 0.0 億
"=""7805""",威聯通,655.0,25Q4,62.5,5.8,35.4,4.53,13.5,13.9,56.6,-0.68,21.6,1.53,44.56,26.98,19.6,3.55,19.6,15.0,2.65,15.0,74,7805,成交值僅 0.7 億
"=""7810""",捷創科技,223.5,25Q4,5.94,34.6,3.03,47.7,1.13,66.1,50.9,4.53,19.0,3.61,6.25,1.84,14.4,1.02,14.4,12.0,1.66,12.0,74,7810,成交值僅 0.9 億
"=""7823""",奧義賽博-KY創,81.0,25Q4,3.69,22.7,3.0,12.5,-0.46,-1292.0,81.4,-7.42,-12.5,-11.9,-1.49,-1.39,-20.2,-19.0,-20.2,-8.94,-8.51,-8.94,43,7823,資料不足 (24 筆)
"=""8016""",矽創,201.0,25Q4,190.0,6.59,58.2,-4.27,17.5,-5.58,30.6,-3.48,11.7,-2.05,14.66,-0.76,13.6,-2.3,13.6,10.2,-1.73,10.2,66,8016,成交值僅 2.8 億
"=""8048""",德勝,60.9,25Q4,10.1,-0.76,3.5,9.47,1.54,12.8,34.7,3.24,15.2,1.83,2.67,0.31,13.3,1.7,13.3,10.8,1.92,10.8,68,8048,成交值僅 0.6 億
"=""8064""",東捷,64.4,25Q4,28.7,10.2,8.1,18.2,2.25,72.2,28.2,1.9,9.29,2.62,1.36,0.57,7.88,2.52,7.88,4.69,1.77,4.69,51,8064,技術面未達標
"=""8081""",致新,236.0,25Q4,86.7,5.0,33.8,3.76,15.2,-0.82,39.0,-0.47,17.9,-1.21,17.76,-0.15,16.7,-1.26,16.7,13.7,-0.9,13.7,66,8081,成交值僅 1.1 億
"=""8109""",博大,102.0,25Q4,17.4,15.0,8.6,18.4,5.08,-4.53,49.4,1.39,29.2,-5.98,6.18,-0.3,16.5,-1.09,16.5,13.4,-0.98,13.4,83,8109,成交值僅 0.1 億
"=""8210""",勤誠,912.0,25Q4,220.0,51.6,65.9,74.0,35.6,84.0,30.0,3.87,16.6,3.05,29.06,13.01,39.9,9.21,39.9,18.3,5.38,18.3,64,8210,技術面未達標
"=""8272""",全景軟體,76.6,25Q4,4.78,15.9,3.57,13.9,0.88,24.8,74.6,-1.28,18.5,1.32,4.66,0.62,14.9,0.47,14.9,10.7,0.72,10.7,70,8272,成交值僅 0.0 億
"=""8284""",三竹,63.9,25Q4,29.6,6.07,6.74,2.58,2.2,-14.7,22.8,-0.77,7.43,-1.81,4.74,-0.82,16.2,-3.75,16.2,10.6,-2.24,10.6,60,8284,成交值僅 0.0 億
"=""8342""",益張,84.0,25Q4,16.4,-5.89,4.15,-6.47,2.0,-21.9,25.3,-0.16,12.3,-2.43,5.97,-1.67,18.7,-7.04,18.7,11.3,-3.29,11.3,64,8342,成交值僅 0.0 億
"=""8401""",白紗科,26.9,25Q4,15.4,-0.87,4.73,-0.31,1.86,8.73,30.6,0.17,12.0,1.06,2.63,0.04,15.9,-0.18,15.9,11.6,-0.05,11.6,59,8401,成交值僅 0.0 億
"=""8426""",紅木-KY,25.7,25Q4,27.1,-5.62,7.2,-20.4,0.93,-63.2,26.6,-4.95,3.44,-5.38,1.85,-3.18,7.26,-14.1,7.26,3.79,-7.03,3.79,49,8426,成交值僅 0.0 億
"=""8435""",鉅邁,58.0,25Q4,6.18,-14.3,3.19,-10.3,1.24,-16.6,51.6,2.29,20.1,-0.54,3.91,-0.77,15.4,-3.18,15.4,12.7,-2.29,12.7,77,8435,成交值僅 0.0 億
"=""8436""",大江,122.5,25Q4,69.9,-3.47,30.8,-3.04,9.55,12.2,44.1,0.2,15.9,2.4,8.68,1.08,11.9,1.83,11.9,7.78,0.78,7.78,68,8436,成交值僅 0.5 億
"=""8446""",華研,99.0,25Q4,10.8,-21.1,7.27,-15.7,5.45,-9.95,67.0,4.32,50.2,6.21,10.3,-1.14,25.1,-5.72,25.1,18.7,-0.97,18.7,85,8446,成交值僅 0.2 億
"=""8464""",億豐,384.0,25Q4,300.0,1.47,176.0,4.24,66.0,-4.37,58.8,1.57,23.1,-0.96,22.53,-1.03,23.7,-3.39,23.7,17.8,-2.39,17.8,83,8464,成交值僅 3.0 億
"=""8487""",愛爾達-創,79.9,25Q4,10.2,-31.5,2.77,-28.9,1.07,-40.4,27.2,0.98,10.5,-1.56,4.03,-2.82,15.6,-13.4,15.6,10.5,-8.77,10.5,60,8487,成交值僅 0.0 億
"=""8930""",青鋼,32.45,25Q4,14.2,-7.81,3.83,-5.93,1.96,-20.4,26.9,0.54,13.8,-2.17,2.4,-0.61,13.0,-3.16,13.0,9.27,-1.75,9.27,64,8930,成交值僅 0.0 億
"=""8940""",新天地,18.7,25Q4,15.9,-6.42,7.8,-9.94,0.37,351.0,49.1,-1.92,2.82,1.38,0.55,0.43,5.32,2.32,5.32,2.04,0.92,2.04,51,8940,成交值僅 0.0 億
"=""8996""",高力,911.0,25Q4,65.8,64.4,18.0,50.6,8.3,39.9,27.3,-2.51,12.6,-2.21,9.07,2.51,21.8,2.48,21.8,11.7,0.81,11.7,57,8996,盈虧比不足或已破支撐
"=""9911""",櫻花,90.8,25Q4,103.0,7.02,36.3,6.77,13.7,5.54,35.3,-0.08,13.4,-0.09,6.27,0.33,20.2,-0.28,20.2,12.6,-0.24,12.6,64,9911,成交值僅 0.3 億
"=""9917""",中保科,113.5,25Q4,190.0,6.29,61.8,6.25,30.1,5.7,32.6,-0.01,16.1,-0.08,6.77,0.35,22.1,0.31,22.1,10.3,-0.15,10.3,64,9917,成交值僅 1.0 億
"=""9943""",好樂迪,58.9,25Q4,24.1,-7.26,12.2,-9.88,4.57,-30.2,50.4,-1.46,19.1,-6.32,5.4,-2.34,11.5,-4.74,11.5,8.27,-3.26,8.27,62,9943,成交值僅 0.1 億
