代號,名稱,成交,財報季度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),累季ROE(%),累季ROE增減,年估ROE(%),累季ROA(%),累季ROA增減,年估ROA(%),財報評分,stock_id,filter_reason
"=""4205""",中華食,77.8,25Q4,20.6,1.69,8.24,3.64,4.04,2.3,40.1,0.75,19.7,0.12,4.14,-0.31,18.3,-1.15,18.3,15.4,-0.77,15.4,81,4205,成交值僅 0.0 億
"=""4305""",世坤,43.55,25Q4,10.8,3.54,3.39,20.5,2.11,-3.32,31.4,4.43,19.5,-1.39,3.83,-0.14,17.1,-1.48,17.1,14.7,-1.53,14.7,70,4305,成交值僅 0.0 億
"=""4442""",竣邦-KY,60.3,25Q4,16.7,29.6,4.68,39.0,1.52,72.7,28.0,1.89,9.08,2.27,5.23,2.04,21.1,5.35,21.1,13.6,3.43,13.6,64,4442,成交值僅 0.0 億
"=""4506""",崇友,117.0,25Q4,60.2,9.74,19.6,13.6,11.5,16.8,32.5,1.1,19.2,1.15,6.52,0.94,20.3,1.91,20.3,10.8,0.71,10.8,66,4506,成交值僅 0.0 億
"=""4527""",方土霖,42.35,25Q4,30.7,-15.9,8.08,-11.0,2.59,-19.1,26.3,1.45,8.1,-0.62,3.4,-0.8,13.1,-4.37,13.1,7.25,-1.69,7.25,49,4527,成交值僅 0.0 億
"=""4530""",宏易,29.0,25Q4,3.49,456.0,1.38,399.0,0.09,114.0,39.4,-4.43,5.87,104.0,0.34,1.62,5.36,32.3,5.36,4.05,25.0,4.05,55,4530,成交值僅 0.0 億
"=""4541""",晟田,41.85,25Q4,16.4,16.1,3.76,75.2,1.37,61.4,22.9,7.72,8.33,2.34,2.03,0.77,8.22,2.84,8.22,3.52,1.33,3.52,45,4541,成交值僅 0.2 億
"=""4588""",玖鼎電力,59.1,25Q4,9.2,-14.1,3.06,-18.7,1.37,-23.6,33.2,-1.88,14.9,-1.86,3.2,-1.02,14.9,-8.32,14.9,6.7,-2.65,6.7,50,4588,成交值僅 0.1 億
"=""4721""",美琪瑪,71.8,25Q4,25.3,19.3,4.63,10.6,2.26,-10.4,18.3,-1.44,8.92,-2.95,3.01,-0.35,16.9,-3.78,16.9,11.0,-3.23,11.0,51,4721,成交值僅 0.6 億
"=""4728""",雙美,392.5,25Q4,20.3,11.4,15.9,7.44,7.26,6.82,78.4,-2.93,35.8,-1.55,13.33,0.86,46.4,0.13,46.4,34.4,2.47,34.4,95,4728,成交值僅 0.1 億
"=""4931""",新盛力,140.0,25Q4,24.5,22.9,5.35,32.0,2.04,26.0,21.8,1.51,8.3,0.21,3.13,0.63,16.9,2.52,16.9,10.7,0.24,10.7,53,4931,技術面未達標
"=""4933""",友輝,60.5,25Q4,30.1,2.41,9.6,6.76,4.73,-17.9,31.9,1.3,15.7,-3.88,5.77,-1.3,12.7,-3.5,12.7,9.83,-2.72,9.83,66,4933,成交值僅 0.2 億
"=""4951""",精拓科,69.4,25Q4,5.41,4.88,4.11,8.12,2.04,40.9,76.1,2.28,37.8,10.1,5.98,1.73,21.6,5.27,21.6,18.9,4.69,18.9,91,4951,成交值僅 0.1 億
"=""4987""",科誠,81.1,25Q4,13.4,3.89,5.8,6.09,2.03,-2.0,43.2,0.89,15.1,-0.91,6.36,-0.13,16.5,-1.53,16.5,12.4,-1.45,12.4,64,4987,成交值僅 0.1 億
"=""4995""",晶達,41.3,25Q4,12.9,-7.32,4.05,-18.5,0.95,-50.1,31.4,-4.3,7.4,-6.34,2.25,-2.28,9.76,-9.83,9.76,5.5,-5.58,5.5,49,4995,成交值僅 0.0 億
"=""5007""",三星,56.6,25Q4,62.2,-8.86,14.8,-15.7,8.91,-15.7,23.9,-1.94,14.6,-1.03,3.02,-0.56,12.0,-2.33,12.0,10.3,-1.78,10.3,68,5007,成交值僅 0.0 億
"=""5210""",寶碩,21.85,25Q4,2.78,9.95,2.05,19.2,0.6,208.0,73.7,5.73,21.6,43.7,0.73,1.56,7.8,17.5,7.8,6.97,14.6,6.97,72,5210,成交值僅 0.0 億
"=""5212""",凌網,55.0,25Q4,13.2,15.9,6.86,17.1,1.64,23.5,52.1,0.55,12.7,0.9,4.74,0.9,26.1,3.23,26.1,11.7,0.06,11.7,64,5212,成交值僅 0.0 億
"=""5236""",凌陽創新,128.5,25Q4,20.0,10.0,11.6,6.36,5.15,6.87,57.8,-1.98,25.8,-0.76,8.59,0.34,19.6,0.77,19.6,16.6,0.62,16.6,84,5236,成交值僅 0.1 億
"=""5274""",信驊,11750.0,25Q4,90.8,40.6,61.8,48.7,39.3,52.8,68.0,3.71,43.2,3.43,103.92,35.88,59.5,5.18,59.5,43.5,1.59,43.5,91,5274,盈虧比不足或已破支撐
"=""5287""",數字,169.0,25Q4,23.2,2.49,16.1,1.75,8.36,10.0,69.2,-0.51,36.1,2.57,13.93,1.26,34.2,-0.42,34.2,19.7,-0.03,19.7,84,5287,成交值僅 0.5 億
"=""5288""",豐祥-KY,142.0,25Q4,68.1,-6.57,15.2,-5.95,8.48,-25.7,22.4,0.15,12.5,-3.18,12.25,-4.76,13.8,-6.66,13.8,11.2,-4.64,11.2,64,5288,成交值僅 0.3 億
"=""5403""",中菲,109.5,25Q4,34.1,7.88,13.5,9.37,6.32,2.11,39.6,0.54,18.6,-1.05,8.57,0.13,23.2,-1.23,23.2,13.1,-0.45,13.1,66,5403,成交值僅 0.2 億
"=""5515""",建國,38.3,25Q4,71.0,15.9,11.8,48.8,9.04,32.5,16.6,3.68,12.7,1.6,4.48,1.57,17.7,3.8,17.7,8.99,1.05,8.99,55,5515,成交值僅 0.6 億
"=""5703""",亞都,13.85,25Q4,4.49,5.62,1.97,23.5,0.37,172.0,43.9,6.37,8.26,5.05,0.53,0.34,7.33,4.49,7.33,3.82,2.38,3.82,57,5703,成交值僅 0.0 億
"=""6139""",亞翔,593.0,25Q4,775.0,19.0,124.0,52.3,71.4,64.8,16.0,3.49,11.9,3.25,30.51,11.78,39.0,7.87,39.0,12.8,3.02,12.8,64,6139,技術面未達標
"=""6143""",振曜,99.7,25Q4,85.2,15.0,19.0,21.9,5.56,-11.8,22.2,1.26,9.17,-1.46,6.46,-0.87,15.8,-1.92,15.8,9.96,-0.99,9.96,55,6143,成交值僅 0.6 億
"=""6146""",耕興,202.0,25Q4,44.9,-1.34,20.7,-9.41,11.0,-15.0,46.1,-4.11,25.7,-3.81,10.77,-1.89,18.7,-4.03,18.7,14.4,-2.85,14.4,74,6146,成交值僅 0.8 億
"=""6183""",關貿,92.5,25Q4,27.5,7.77,11.9,10.8,5.86,14.8,43.4,1.18,21.3,1.29,3.9,0.5,21.1,1.9,21.1,13.0,0.39,13.0,72,6183,成交值僅 0.0 億
"=""6187""",萬潤,819.0,25Q4,53.7,-3.04,29.1,7.24,14.9,13.3,54.3,5.21,27.9,4.21,15.46,0.89,21.4,-7.76,21.4,16.3,-3.47,16.3,83,6187,技術面未達標
"=""6197""",佳必琪,195.5,25Q4,75.8,12.0,26.0,16.1,10.6,-0.18,34.3,1.19,14.9,-1.96,8.67,-0.02,22.9,-5.31,22.9,13.8,-3.64,13.8,66,6197,技術面未達標
"=""6203""",海韻電,66.7,25Q4,27.7,37.2,9.63,88.7,4.54,57.3,34.7,9.49,16.4,2.09,5.51,2.01,15.0,5.37,15.0,12.3,4.87,12.3,72,6203,成交值僅 0.1 億
"=""6206""",飛捷,101.0,25Q4,50.3,9.26,22.2,10.6,9.86,-0.54,44.1,0.52,19.2,-1.66,6.9,-0.03,18.6,-0.91,18.6,15.7,-0.63,15.7,74,6206,成交值僅 1.1 億
"=""6231""",系微,270.0,25Q4,16.9,4.64,12.5,0.19,3.04,-9.71,73.9,-3.28,18.0,-2.86,6.66,-0.71,26.0,-6.35,26.0,18.1,-3.99,18.1,73,6231,技術面未達標
"=""6246""",臺龍,16.3,25Q4,16.0,6.56,1.93,32.7,0.43,187.0,12.1,2.38,2.7,6.03,1.14,2.46,10.6,23.0,10.6,3.31,7.24,3.31,36,6246,成交值僅 0.0 億
"=""6257""",矽格,132.5,25Q4,196.0,7.51,57.2,20.3,29.5,6.59,29.2,3.11,17.0,-0.4,6.14,0.25,13.9,-0.9,13.9,8.06,-0.16,8.06,60,6257,技術面未達標
"=""6263""",普萊德,125.0,25Q4,18.8,0.24,8.79,-0.45,5.2,-3.4,46.7,-0.32,27.6,-1.04,8.32,-0.29,29.7,-1.98,29.7,23.6,-0.84,23.6,85,6263,成交值僅 0.1 億
"=""6265""",方土昶,47.55,25Q4,9.1,62.9,1.9,440.0,0.8,226.0,20.9,14.6,8.81,4.41,0.68,0.47,5.75,3.9,5.75,5.06,3.45,5.06,53,6265,技術面未達標
"=""6290""",良維,224.0,25Q4,102.0,26.3,31.9,59.7,14.1,39.1,31.4,6.56,14.0,1.3,8.73,2.32,18.9,2.75,18.9,13.8,2.22,13.8,57,6290,技術面未達標
"=""6291""",沛亨,357.5,25Q4,21.3,16.7,7.44,30.8,2.77,7.63,35.0,3.76,12.8,1.42,6.6,0.47,18.4,5.82,18.4,12.0,3.33,12.0,57,6291,盈虧比不足或已破支撐
"=""6409""",旭隼,752.0,25Q4,205.0,-10.0,59.6,-15.1,35.2,-16.3,29.0,-1.74,17.2,-1.27,40.23,-7.9,36.1,-9.84,36.1,20.5,-5.75,20.5,64,6409,技術面未達標
"=""6442""",光聖,2045.0,25Q4,105.0,64.2,60.8,70.5,17.8,68.2,57.7,2.13,16.9,0.42,23.46,9.16,33.7,-3.0,33.7,17.4,-2.97,17.4,72,6442,技術面未達標
"=""6446""",藥華藥,640.0,25Q4,156.0,60.6,140.0,63.0,50.5,70.1,89.2,1.32,32.3,1.81,13.64,4.68,17.0,5.44,17.0,14.7,4.57,14.7,85,6446,技術面未達標
"=""6482""",弘煜科,31.85,25Q4,4.96,-10.1,4.86,-11.3,0.66,-21.3,98.0,-1.36,13.5,-1.92,2.32,-1.21,16.2,-7.6,16.2,12.4,-4.51,12.4,68,6482,成交值僅 0.0 億
"=""6486""",互動,84.5,25Q4,26.9,6.12,8.66,5.65,2.94,2.55,32.2,-0.14,11.0,-0.27,5.78,-0.09,14.6,-0.51,14.6,8.44,-0.28,8.44,55,6486,成交值僅 0.1 億
"=""6498""",久禾光,94.5,25Q4,12.4,19.8,5.91,23.7,2.92,27.7,47.8,1.54,23.6,1.46,6.51,0.94,23.2,-2.65,23.2,14.4,-0.64,14.4,73,6498,成交值僅 0.6 億
"=""6515""",穎崴,7930.0,25Q4,78.6,35.5,35.6,40.4,16.7,41.1,45.3,1.57,21.3,0.84,46.93,12.62,27.9,1.65,27.9,20.1,1.08,20.1,74,6515,技術面未達標
"=""6517""",保勝光學,57.6,25Q4,4.9,-1.73,1.83,-8.92,0.5,-55.6,37.3,-2.95,10.1,-12.3,1.63,-2.04,7.44,-10.3,7.44,6.37,-8.5,6.37,59,6517,成交值僅 0.1 億
"=""6523""",達爾膚,118.0,25Q4,11.7,-5.92,8.06,-8.26,3.5,-26.5,69.0,-1.76,30.0,-8.37,7.78,-2.79,24.9,-7.58,24.9,21.0,-6.13,21.0,87,6523,成交值僅 0.0 億
"=""6525""",捷敏-KY,83.7,25Q4,53.3,14.0,14.2,34.1,7.59,14.2,26.7,3.99,14.2,0.02,5.88,0.73,16.5,1.15,16.5,11.3,0.88,11.3,62,6525,成交值僅 0.2 億
"=""6531""",愛普*,553.0,25Q4,56.7,35.2,26.3,22.7,12.6,-20.3,46.5,-4.7,21.9,-15.8,7.74,-1.99,10.2,-3.37,10.2,8.94,-3.43,8.94,79,6531,盈虧比不足或已破支撐
"=""6548""",長科*,45.45,25Q4,134.0,12.0,29.1,1.01,15.0,-20.7,21.7,-2.37,11.5,-4.57,1.63,-0.39,13.4,-4.15,13.4,6.98,-2.32,6.98,55,6548,成交值僅 1.5 億
"=""6561""",是方,351.5,25Q4,39.4,3.97,20.7,15.3,12.3,14.0,52.6,5.16,31.2,2.8,15.75,1.93,32.6,3.96,32.6,16.4,1.77,16.4,83,6561,成交值僅 0.2 億
"=""6581""",鋼聯,111.0,25Q4,22.1,-7.05,11.3,-11.1,6.87,-17.4,51.0,-2.34,31.1,-3.88,6.17,-1.3,15.3,-4.04,15.3,12.7,-4.0,12.7,89,6581,成交值僅 0.0 億
"=""6584""",南俊國際,502.0,25Q4,24.3,26.4,8.51,69.5,3.7,92.5,35.0,8.89,15.2,5.22,5.59,2.65,13.8,4.52,13.8,8.89,3.72,8.89,62,6584,盈虧比不足或已破支撐
